sample_name,category,amphiboles,biotite-chlorite,calcite-dolomite,epidote,feldspar,garnet,obsidian,glaucophane,kyanite,muscovite,olivine,pyroxene,quartz,serpentine,talc,vesuvianite,zoisite
Hornblende-biotite granodiorite,valid_mixture,0.04,0.13,0,0,0.49,0,0,0,0,0,0,0,0.34,0,0,0,0
Biotite monzogranite,valid_mixture,0,0.09,0,0,0.54,0,0,0,0,0,0,0,0.37,0,0,0,0
Hornblende-biotite granodiorite,valid_mixture,0.04,0.12,0,0,0.54,0,0,0,0,0,0,0,0.3,0,0,0,0
Hornblende-biotite granodiorite/tonalite,valid_mixture,0.02,0.09,0,0,0.55,0,0,0,0,0,0,0,0.34,0,0,0,0
Biotite granodiorite,valid_mixture,0,0.05,0,0,0.53,0,0,0,0,0.02,0,0,0.4,0,0,0,0
Hornblende-biotite tonalite,valid_mixture,0.07,0.24,0,0,0.43,0,0,0,0,0,0,0,0.26,0,0,0,0
Biotite monzogranite,valid_mixture,0,0.07,0,0,0.51,0,0,0,0,0.01,0,0,0.42,0,0,0,0
Hornblende-biotite granodiorite,valid_mixture,0.05,0.1,0,0,0.6,0,0,0,0,0,0,0,0.25,0,0,0,0
Garnet-two mica monzogranite,valid_mixture,0,0.05,0,0,0.61,0.02,0,0,0,0.01,0,0,0.31,0,0,0,0
Biotite monzogranite,valid_mixture,0,0.02,0,0,0.65,0,0,0,0,0,0,0,0.33,0,0,0,0
Quartz diorite,valid_mixture,0,0.12,0,0,0.71,0,0,0,0,0,0,0.07,0.09,0,0,0,0
Biotite granodiorite,valid_mixture,0,0.16,0,0,0.48,0,0,0,0,0,0,0,0.36,0,0,0,0
Hornblende-biotite monzogranite,valid_mixture,0.015,0.05,0,0,0.645,0,0,0,0,0,0,0,0.29,0,0,0,0
Biotite syenogranite-monzogranite,valid_mixture,0,0.02,0,0,0.63,0,0,0,0,0,0,0,0.35,0,0,0,0
Hornblende-biotite granodiorite,valid_mixture,0.11,0.11,0,0,0.55,0,0,0,0,0,0,0,0.23,0,0,0,0
Biotite monzogranite,valid_mixture,0,0.11,0,0,0.58,0,0,0,0,0,0,0,0.31,0,0,0,0
