,Deviation,Error_L1_mean,Error_L2_mean,K,RMS_noisy_mean,RMS_true_mean,SNR,accuracy_mean,delta,lambda,precision_mean,recall_mean,thresh
0,2.5e-05,0.776651407102877,0.06990873645719231,30,4.7439939226509e-06,4.74198435335081e-06,11373205.551164415,0.726984126984127,1e-10,1e-08,0.41106182516218626,0.8915079365079366,0.01
1,2.5e-05,1.1758795548012184,0.15971375493510867,30,0.0008289988838351936,0.0008289668796586127,11373205.551164415,0.5888888888888887,1e-10,2.1544346900318822e-07,0.2690223574896237,0.824126984126984,0.01
2,2.5e-05,1.2064130509148359,0.14949221990754372,30,0.0005313331760287723,0.0005313550368279306,11373205.551164415,0.611111111111111,1e-10,4.641588833612773e-06,0.30132768493173206,0.7868253968253967,0.01
3,2.5e-05,1.3269695001137873,0.2501333548837015,30,0.0031490981062477137,0.003149127376665529,11373205.551164415,0.6261904761904762,1e-10,0.0001,0.2898562758327474,0.6640079365079364,0.01
4,2.5e-05,0.7030334138235105,0.0956412517150707,30,0.0011837808469341337,0.0011837423761094027,11373205.551164415,0.7801587301587302,1e-09,1e-08,0.4524623391906001,0.8491269841269842,0.01
5,2.5e-05,0.9795610344357546,0.1020491593442583,30,1.5074754772626845e-05,1.5073138009803204e-05,11373205.551164415,0.6595238095238095,1e-09,2.1544346900318822e-07,0.3348272254173789,0.891984126984127,0.01
6,2.5e-05,1.148428491851539,0.14641928551625732,30,8.621938742528452e-05,8.620122770699814e-05,11373205.551164415,0.5730158730158729,1e-09,4.641588833612773e-06,0.28969260814888,0.8723412698412698,0.01
7,2.5e-05,1.2691017740032722,0.1849701862894123,30,0.0007773712451692665,0.0007773166044895957,11373205.551164415,0.6230158730158729,1e-09,0.0001,0.28984728220968925,0.6883465608465608,0.01
8,2.5e-05,0.487137722819221,0.043900327966764435,30,3.1129061966377124e-06,3.113224232140726e-06,11373205.551164415,0.8309523809523809,1e-08,1e-08,0.5531004427289257,0.8842460317460318,0.01
9,2.5e-05,0.6967658493521691,0.0983079146234813,30,0.0017840000831181398,0.0017839660250314553,11373205.551164415,0.788888888888889,1e-08,2.1544346900318822e-07,0.43597281917715347,0.8163888888888889,0.01
10,2.5e-05,9718.95834201714,143328693.42894998,30,563406.2932763357,563406.292062903,11373205.551164415,0.596031746031746,1e-08,4.641588833612773e-06,0.28748172973941705,0.8378174603174603,0.01
11,2.5e-05,1.2355143417504713,0.16090843516166414,30,0.0007317956943206333,0.0007317877726109789,11373205.551164415,0.5698412698412698,1e-08,0.0001,0.2634755986671113,0.8128174603174603,0.01
12,2.5e-05,0.18017256516922517,0.010700492385926654,30,1.0517429949814517e-06,1.050490346633392e-06,11373205.551164415,0.9325396825396826,1e-07,1e-08,0.7945616883116883,0.8788888888888887,0.01
