,Deviation,Error_L1_mean,Error_L2_mean,K,RMS_noisy_mean,RMS_true_mean,SNR,accuracy_mean,lambda,p,precision_mean,recall_mean,thresh
0,2.5e-05,0.002752088364822386,2.1720248511980454e-06,100,5.131263431249322e-10,1.2498054698352368e-10,11637702.828747734,1.0,1e-07,0.8,1.0,1.0,0.01
1,2.5e-05,0.0014143491450804143,2.358037990341796e-06,100,5.973232367021763e-10,1.1961021611528177e-10,11637702.828747734,1.0,1e-06,0.8,1.0,1.0,0.01
2,2.5e-05,0.038585280625931355,0.001482693456409985,100,2.2522428626660646e-08,2.2137485390923414e-08,11637702.828747734,0.9797619047619045,1e-05,0.8,0.9409350649350648,0.9652817460317462,0.01
3,2.5e-05,0.0922399305565011,0.005103103044851961,100,2.0505863573362012e-07,2.049983002867738e-07,11637702.828747734,0.9602380952380952,0.0001,0.8,0.8826371128871128,0.9252896825396826,0.01
4,2.5e-05,0.003451290283865463,3.1071923841354605e-06,100,5.063812577214394e-10,1.3668657208889532e-10,11637702.828747734,1.0,1e-07,0.85,1.0,1.0,0.01
5,2.5e-05,0.0014419395167176298,6.206028709882842e-07,100,5.36472272322698e-10,9.182798159234553e-11,11637702.828747734,1.0,1e-06,0.85,1.0,1.0,0.01
6,2.5e-05,0.008533248919466989,0.00018666706210304572,100,2.433930510549891e-09,1.938011716239785e-09,11637702.828747734,0.9957142857142856,1e-05,0.85,0.9885873015873017,0.9889920634920634,0.01
7,2.5e-05,0.061126941632219274,0.0027565452167327338,100,7.299350009973379e-08,7.248548930600798e-08,11637702.828747734,0.972142857142857,0.0001,0.85,0.9179790764790765,0.9443333333333334,0.01
8,2.5e-05,0.003627674771146858,3.0015747882479916e-06,100,5.02232156054615e-10,1.384465002773064e-10,11637702.828747734,1.0,1e-07,0.9,1.0,1.0,0.01
9,2.5e-05,0.0024297462104190307,1.7369941400294411e-06,100,5.133835382634156e-10,1.1897579362519893e-10,11637702.828747734,1.0,1e-06,0.9,1.0,1.0,0.01
10,2.5e-05,0.0015052602388368793,4.095827212001483e-06,100,6.374457734212848e-10,1.4876200571669526e-10,11637702.828747734,0.9997619047619049,1e-05,0.9,1.0,0.99875,0.01
11,2.5e-05,0.028020732664990305,0.0010736061014606794,100,1.8461280591508702e-08,1.807782918074849e-08,11637702.828747734,0.9854761904761905,0.0001,0.9,0.9570782828282829,0.9730000000000001,0.01
12,2.5e-05,0.003730125002647202,3.132148735088187e-06,100,5.021386993563443e-10,1.3916288608996692e-10,11637702.828747734,1.0,1e-07,0.95,1.0,1.0,0.01
13,2.5e-05,0.003250555790095073,2.553794291499728e-06,100,5.025016677901565e-10,1.322083834211248e-10,11637702.828747734,1.0,1e-06,0.95,1.0,1.0,0.01
14,2.5e-05,0.0014253537454223559,9.348479746238202e-07,100,5.338566025022709e-10,9.442562102860462e-11,11637702.828747734,0.9997619047619049,1e-05,0.95,1.0,0.9985714285714287,0.01
15,2.5e-05,0.0032019996611652815,2.5900529992392745e-05,100,1.086141484735441e-09,5.92135659105426e-10,11637702.828747734,0.9983333333333333,0.0001,0.95,0.997,0.9945277777777777,0.01
