,Deviation,FCLS_err_L1,LASSO_err_L1,SFCLS_err_L1,delta_err_L1,p_norm_err_L1,SFCLS_lam,LASSO_lam,p_norm_lam,delta_lam,p,delta
0,0.000001,0.0094832742,0.0096495372,0.0011034949,0.0017575229,0.0008958135,0.0000001,0.0001,0.000001,0.0000001,0.8,0.01
1,0.00000126,0.0094580496,0.0096626607,0.0011045809,0.0014929978,0.000931665,0.0000001,0.0001,0.000001,0.0000001,0.8,0.01
2,0.00000158,0.0094476669,0.0096885672,0.0011068017,0.0020539865,0.0009769126,0.0000001,0.0001,0.000001,0.0000001,0.8,0.01
3,0.000002,0.0094437561,0.009657678,0.0011110513,0.0019949789,0.0012766653,0.0000001,0.0001,0.000001,0.0000001,0.8,0.01
4,0.00000251,0.0094695804,0.0096779881,0.0011505091,0.001635779,0.0009202664,0.0000001,0.0001,0.000001,0.0000001,0.8,0.01
5,0.00000316,0.0094953899,0.0096657386,0.0011632344,0.0016129093,0.0009236132,0.0000001,0.0001,0.000001,0.0000001,0.8,0.01
6,0.00000398,0.009457278,0.009653466,0.0011843909,0.0015638708,0.0009581957,0.0000001,0.0001,0.000001,0.0000001,0.8,0.01
7,0.00000501,0.0094777284,0.0096755357,0.0012196645,0.0015636264,0.0010067567,0.0000001,0.0001,0.000001,0.0000001,0.8,0.01
8,0.00000631,0.0094371455,0.0097263022,0.0012750694,0.0016789648,0.0010875227,0.0000001,0.0001,0.000001,0.0000001,0.8,0.01
9,0.00000794,0.0094510846,0.0096644987,0.0013634406,0.0013757884,0.0016892625,0.0000001,0.0001,0.000001,0.0000001,0.8,0.01
10,0.00001,0.009453309,0.0097659052,0.0015020155,0.0015993487,0.0010367351,0.0000001,0.0001,0.000001,0.0000001,0.8,0.01
11,0.0000126,0.0095225418,0.0097770571,0.0017123162,0.0017178803,0.0011527987,0.0000001,0.0001,0.000001,0.0000001,0.8,0.01
12,0.0000158,0.009606323,0.0097253135,0.0020131331,0.002090734,0.0015616127,0.0000001,0.0001,0.000001,0.0000001,0.8,0.01
13,0.00002,0.0096764298,0.0098276381,0.0024445447,0.0019088879,0.0014168698,0.0000001,0.0001,0.000001,0.0000001,0.8,0.01
14,0.0000251,0.0098291854,0.0099930175,0.0030434258,0.0019695532,0.0016349288,0.0000001,0.0001,0.000001,0.0000001,0.8,0.01
15,0.0000316,0.0099675857,0.0102066223,0.0038134997,0.0027338673,0.0025174614,0.0000001,0.0001,0.000001,0.0000001,0.8,0.01
16,0.0000398,0.0103710587,0.0106062418,0.0048075945,0.0026112416,0.0022819163,0.0000001,0.0001,0.000001,0.0000001,0.8,0.01
17,0.0000501,0.0108577543,0.0113275804,0.0060951045,0.0038094495,0.0031684536,0.0000001,0.0001,0.000001,0.0000001,0.8,0.01
18,0.0000631,0.0116607399,0.0122036036,0.0076626318,0.0047131147,0.0050228116,0.0000001,0.0001,0.000001,0.0000001,0.8,0.01
19,0.0000794,0.0130387172,0.013781286,0.0096611496,0.0060040517,0.0059873889,0.0000001,0.0001,0.000001,0.0000001,0.8,0.01
20,0.0001,0.01487935,0.0160618961,0.0121743821,0.0082069105,0.0074984189,0.0000001,0.0001,0.000001,0.0000001,0.8,0.01
21,0.0001258925,0.0175029325,0.0189401655,0.0153802357,0.0112825236,0.0097049174,0.0000001,0.0001,0.000001,0.0000001,0.8,0.01
22,0.0001584893,0.0208792665,0.0231624474,0.0194007813,0.0151660709,0.0135070316,0.0000001,0.0001,0.000001,0.0000001,0.8,0.01
23,0.0001995262,0.02565452,0.0285636994,0.0243915291,0.0198875249,0.0190631999,0.0000001,0.0001,0.000001,0.0000001,0.8,0.01
24,0.0002511886,0.0315013711,0.0349928874,0.0306677862,0.0259692283,0.0251616148,0.0000001,0.0001,0.000001,0.0000001,0.8,0.01
25,0.0003162278,0.0388826566,0.0438361518,0.0384232075,0.0334608122,0.0331313026,0.0000001,0.0001,0.000001,0.0000001,0.8,0.01
26,0.0003981072,0.048441582,0.0548769539,0.0481944462,0.044019437,0.0426367877,0.0000001,0.0001,0.000001,0.0000001,0.8,0.01
27,0.0005011872,0.0607391326,0.0686948075,0.0604846454,0.0569115042,0.0555835041,0.0000001,0.0001,0.000001,0.0000001,0.8,0.01
28,0.0006309573,0.076136638,0.0857511401,0.0757557354,0.0726689489,0.0714108601,0.0000001,0.0001,0.000001,0.0000001,0.8,0.01
29,0.0007943282,0.0951966466,0.1073171246,0.0947936139,0.0925444919,0.0913106044,0.0000001,0.0001,0.000001,0.0000001,0.8,0.01
30,0.001,0.1186345236,0.1327438333,0.1185575397,0.1165769138,0.1168113797,0.0000001,0.0001,0.000001,0.0000001,0.8,0.01
