,Deviation,Error_L1_mean,Error_L2_mean,K,RMS_noisy_mean,RMS_true_mean,SNR,accuracy_mean,lambda,p,precision_mean,recall_mean,thresh
0,0.000025,0.0017619148,7.76805028982236E-07,50,5.35874549689753E-10,1.01378196882602E-10,11044377.9390223,1,0.0000001,0.75,1,1,0.01
1,0.000025,0.0021434753,2.15907930724059E-06,50,5.46468197851987E-10,1.17975707004456E-10,11044377.9390223,1,0.0000001,0.76,1,1,0.01
2,0.000025,0.0020954194,1.13409038400257E-06,50,5.26940669454323E-10,1.11979264919507E-10,11044377.9390223,1,0.0000001,0.77,1,1,0.01
3,0.000025,0.0022027168,1.24634334861552E-06,50,5.22278850975583E-10,1.15398008079199E-10,11044377.9390223,1,0.0000001,0.78,1,1,0.01
4,0.000025,0.0024322896,1.5587037431084E-06,50,5.18723554179515E-10,1.19842877859014E-10,11044377.9390223,1,0.0000001,0.79,1,1,0.01
5,0.000025,0.0024790157,1.4259473827998E-06,50,5.1358151353668E-10,1.21739499886097E-10,11044377.9390223,1,0.0000001,0.8,1,1,0.01
6,0.000025,0.0026282769,1.54089341070004E-06,50,5.12357244471245E-10,1.23546041677983E-10,11044377.9390223,1,0.0000001,0.81,1,1,0.01
7,0.000025,0.0027536142,1.61592188071449E-06,50,5.10956462931995E-10,1.25502119886435E-10,11044377.9390223,1,0.0000001,0.82,1,1,0.01
8,0.000025,0.0028973248,1.76210444071452E-06,50,5.0785918190344E-10,1.29055925878112E-10,11044377.9390223,1,0.0000001,0.83,1,1,0.01
9,0.000025,0.0029688042,1.86276562368505E-06,50,5.07615600072509E-10,1.28820404174099E-10,11044377.9390223,1,0.0000001,0.84,1,1,0.01
10,0.000025,0.0030657897,1.8915265330076E-06,50,5.05407656842221E-10,1.31056630067682E-10,11044377.9390223,1,0.0000001,0.85,1,1,0.01
11,0.000025,0.0031964373,1.97626142871705E-06,50,5.05039631410492E-10,1.32628565405539E-10,11044377.9390223,1,0.0000001,0.86,1,1,0.01
12,0.000025,0.0032209445,0.000002085,50,5.04179747553629E-10,1.33107428822955E-10,11044377.9390223,1,0.0000001,0.87,1,1,0.01
13,0.000025,0.0032680556,2.1203874204834E-06,50,5.04125202330308E-10,1.33794175242308E-10,11044377.9390223,1,0.0000001,0.88,1,1,0.01
14,0.000025,0.0032851432,2.10417153868756E-06,50,5.04869549789901E-10,1.34623177139568E-10,11044377.9390223,1,0.0000001,0.89,1,1,0.01
15,0.000025,0.0032627827,2.0616008772292E-06,50,5.0379748180911E-10,1.34448220687635E-10,11044377.9390223,1,0.0000001,0.9,1,1,0.01
16,0.000025,0.0032767196,2.09028337393069E-06,50,5.03857105495093E-10,1.3441764682392E-10,11044377.9390223,1,0.0000001,0.91,1,1,0.01
17,0.000025,0.0032928375,2.15408694939278E-06,50,5.03056244682322E-10,1.34541597670198E-10,11044377.9390223,1,0.0000001,0.92,1,1,0.01
18,0.000025,0.0033867597,2.22947942717541E-06,50,5.04352031624691E-10,1.34548144381663E-10,11044377.9390223,1,0.0000001,0.93,1,1,0.01
19,0.000025,0.0033908173,2.22134482440647E-06,50,5.04308669386262E-10,1.3468562112124E-10,11044377.9390223,1,0.0000001,0.94,1,1,0.01
20,0.000025,0.0033527014,2.1594070697874E-06,50,5.03980591615995E-10,1.34678426453286E-10,11044377.9390223,1,0.0000001,0.95,1,1,0.01
21,0.000025,0.0915525476,0.0040954205,50,2.05138180254149E-07,2.04910982929834E-07,11044377.9390223,0.9576190476,0.0000001,0.54,0.875719364,0.9296190476,0.01
22,0.000025,0.0847771025,0.0035893249,50,1.76410844806875E-07,1.75922686339983E-07,11044377.9390223,0.9580952381,0.0000001,0.5505263158,0.8747121212,0.9296190476,0.01
23,0.000025,0.0643767107,0.0027108543,50,1.53254401668876E-07,1.52678427446658E-07,11044377.9390223,0.9695238095,0.0000001,0.5610526316,0.9084152514,0.9374761905,0.01
24,0.000025,0.0481533104,0.0018312521,50,6.52174685081177E-08,6.457064094801E-08,11044377.9390223,0.9752380952,0.0000001,0.5715789474,0.9243268398,0.9481904762,0.01
25,0.000025,0.0445334809,0.0017496105,50,4.61658683417874E-08,4.57019395644229E-08,11044377.9390223,0.9780952381,0.0000001,0.5821052632,0.9318571429,0.953547619,0.01
26,0.000025,0.0350494314,0.0008212141,50,2.51920983099319E-08,2.49090791018827E-08,11044377.9390223,0.980952381,0.0000001,0.5926315789,0.9397460317,0.9572380952,0.01
27,0.000025,0.025479081,0.0006158943,50,1.24118316939547E-08,1.19187729501435E-08,11044377.9390223,0.9866666667,0.0000001,0.6031578947,0.958547619,0.9650952381,0.01
28,0.000025,0.0222984654,0.0004978668,50,0.00000001,9.60420213819632E-09,11044377.9390223,0.9885714286,0.0000001,0.6136842105,0.9661190476,0.971952381,0.01
29,0.000025,0.0213429327,0.0004798707,50,8.79514737231261E-09,8.38969497822948E-09,11044377.9390223,0.989047619,0.0000001,0.6242105263,0.9711796537,0.967952381,0.01
30,0.000025,0.014463257,0.000309681,50,5.34320007674624E-09,0.000000005,11044377.9390223,0.9933333333,0.0000001,0.6347368421,0.9843939394,0.9786666667,0.01
31,0.000025,0.0120585628,0.000223115,50,4.09660885211701E-09,3.70305991829876E-09,11044377.9390223,0.9933333333,0.0000001,0.6452631579,0.983452381,0.9823095238,0.01
32,0.000025,0.0065285932,4.47731907919934E-05,50,1.70881340155055E-09,1.20692422593482E-09,11044377.9390223,0.9980952381,0.0000001,0.6557894737,0.9975,0.991,0.01
33,0.000025,0.0057341805,0.000030962,50,1.45844537268451E-09,0.000000001,11044377.9390223,0.9985714286,0.0000001,0.6663157895,1,0.991,0.01
34,0.000025,0.0041164652,1.88035105210744E-05,50,9.30614375289093E-10,4.6647181401874E-10,11044377.9390223,0.9985714286,0.0000001,0.6768421053,1,0.9895,0.01
35,0.000025,0.0035119212,1.40015465686225E-05,50,8.38913527619998E-10,3.67085918301779E-10,11044377.9390223,0.9995238095,0.0000001,0.6873684211,1,0.9975,0.01
36,0.000025,0.0037137277,1.33907711594006E-05,50,7.98344271992316E-10,3.49728971597176E-10,11044377.9390223,0.9995238095,0.0000001,0.6978947368,1,0.9975,0.01
37,0.000025,0.002100179,2.97857366513579E-06,50,5.99098022169632E-10,1.32533614025065E-10,11044377.9390223,1,0.0000001,0.7084210526,1,1,0.01
38,0.000025,0.002084948,2.76106555182622E-06,50,5.88453218129789E-10,1.2200745878226E-10,11044377.9390223,1,0.0000001,0.7189473684,1,1,0.01
39,0.000025,0.0020474908,2.66550382808894E-06,50,5.78179825072825E-10,1.22892000749554E-10,11044377.9390223,1,0.0000001,0.7294736842,1,1,0.01
40,0.000025,0.0022515508,3.01561611402336E-06,50,5.71714504595416E-10,1.24536016841936E-10,11044377.9390223,1,0.0000001,0.74,1,1,0.01
