spec_id,sample_id,sample_name,group,type_subgroup,latitude,longitude,sample_location,collection_locality,particle_size,quality,category,dana_mineral_number,dana_class_description,chemical_formula,citation,source,owner,spectral_analysis_person,analysis_date,source_lab,instrument,wavenum_range_low,wavenum_range_high,resolution,field_of_view,sample_temperature,response,radiance,raw,hbb,wbb,hotbb_temperature,chamber_temperature,warmbb_temperature
456,HS-116.4B,Actinolite,Mineral/Phase,"VIII - Silicates - Inosilicates (e.g. Pyroxene, Amphibole)",0,0,-,"San Bernardino, CA",Coarse particulate,"[1] Well characterized, pure",Other,66.1.3a.2,"Class 66 - Double-Width Unbranched Chains, W=2","Ca2(Mg,Fe2+)5[Si8O22](OH,F)2","Christensen et al., 2000","Roger Clark USGS Denver, CO",asu,Rogers,12/8/2000,Arizona State University,Nicolet Nexus 670 FTIR,220,2000,2,1,0,0,0,0,0,0,0,0,0
560,WAR-0235,Albite,Mineral/Phase,"VIII - Silicates - Tektosilicates (e.g. Quartz, Feldspars, Zeolites)",0,0,-,"Amelia Co., VA",Coarse particulate,"[1] Well characterized, pure",Feldspar (Plagioclase),76.1.3.1,Class 76 - Al-Si Framework,NaAlSi3O8,"Christensen et al., 2000",Ward's Natural Science Est.,asu,Rogers,12/8/2000,Arizona State University,Nicolet Nexus 670 FTIR,220,2000,2,1,0,0,0,0,0,0,0,0,0
561,WAR-0024,Andesine,Mineral/Phase,"VIII - Silicates - Tektosilicates (e.g. Quartz, Feldspars, Zeolites)",0,0,-,"Essex Co., NY",Coarse particulate,"[1] Well characterized, pure",Feldspar (Plagioclase),76.1.3.3,Class 76 - Al-Si Framework,Ab70An30-Ab50An50,"Christensen et al., 2000",Ward's Natural Science Est.,asu,Rogers,12/8/2000,Arizona State University,Nicolet Nexus 670 FTIR,220,2000,2,1,0,0,0,0,0,0,0,0,0
498,S9,Anhydrite,Mineral/Phase,"VI - Sulfates, Chromates, Molybdates",0,0,-,"near Carson City, Nevada",Hand Sample,"[1] Well characterized, pure",Sulfate,28.3.2.1,Class 28 - Anhydrous Acid and Sulfates,CaSO4,"Christensen et al., 2000",Burminco,asu,Rogers,12/8/2000,Arizona State University,Nicolet Nexus 670 FTIR,220,2000,2,1,0,0,0,0,0,0,0,0,0
564,BUR-340,Anorthite,Mineral/Phase,"VIII - Silicates - Tektosilicates (e.g. Quartz, Feldspars, Zeolites)",0,0,-,"Grass Valley, CA",Coarse particulate,"[1] Well characterized, pure",Feldspar (Plagioclase),76.1.3.6,Class 76 - Al-Si Framework,CaAl2Si2O8,"Christensen et al., 2000",Burminco,asu,Rogers,12/8/2000,Arizona State University,Nicolet Nexus 670 FTIR,220,2000,2,1,0,0,0,0,0,0,0,0,0
545,NMNH-47108,Antigorite,Mineral/Phase,"VIII - Silicates - Phyllosilicates (e.g. Micas, Clays)",0,0,-,"Bungo, Japan",Coarse particulate,[4] Not well characterized,Sulfate,71.1.2a.1,Class 71 - Sheets of 6-membered rings,Mg3Si2O5(OH)4,"Christensen et al., 2000","National Museum of Natural History, Smithsonian Institution",asu,Rogers,12/8/2000,Arizona State University,Nicolet Nexus 670 FTIR,220,2000,2,1,0,0,0,0,0,0,0,0,0
540,NMNH-119197,Augite,Mineral/Phase,"VIII - Silicates - Inosilicates (e.g. Pyroxene, Amphibole)",0,0,-,"Eureka, Ducktown, Tennesee",Coarse particulate,"[1] Well characterized, pure",Pyroxene,65.1.3a.3,"Class 65 - Single-Width Unbranched Chains, W=1","(Ca,Mg,Fe2+,Fe3+,Ti,Al)2(Si,Al)2O6","Christensen et al., 2000","National Museum of Natural History, Smithsonian Institution",asu,Rogers,12/8/2000,Arizona State University,Nicolet Nexus 670 FTIR,220,2000,2,1,0,0,0,0,0,0,0,0,0
1151,Average High Albedo Surface,Average High Albedo Surface,Soil/Regolith,"VIII - Silicates - Inosilicates (e.g. Pyroxene, Amphibole)",0,0,-,-,-,"[1] Well characterized, pure",Pyroxene,65.1.3a.3,"Class 65 - Single-Width Unbranched Chains, W=1","(Ca,Mg,Fe2+,Fe3+,Ti,Al)2(Si,Al)2O6",-,-,cedwards,-,-,Arizona State University,TES,148,1650,10,0,0,0,0,0,0,0,0,0,0
453,BUR-840,Biotite,Mineral/Phase,"VIII - Silicates - Phyllosilicates (e.g. Micas, Clays)",0,0,-,"Silver Crater, Ontario Canada",Coarse particulate,"[1] Well characterized, pure",Silicate,71.2.2b.2,Class 71 - Sheets of 6-membered rings,"K2(Mg,Fe2+)6-4(Fe3+,AlTi)0-2[Si6-5Al2-3O20](OH,F)4","Christensen et al., 2000",Burminco,asu,Rogers,12/8/2000,Arizona State University,Nicolet Nexus 670 FTIR,220,2000,2,1,0,0,0,0,0,0,0,0,0
558,NMNH-93527,Bronzite,Mineral/Phase,"VIII - Silicates - Inosilicates (e.g. Pyroxene, Amphibole)",0,0,-,"Paul's Island, Labrador, Canada",Coarse particulate,"[1] Well characterized, pure",Pyroxene,65.0.0.0,Class 65x Inosilicates Without Dana's New Classification Number,"(Mg,Fe2+)SiO3","Christensen et al., 2000","National Museum of Natural History, Smithsonian Institution",asu,Rogers,12/8/2000,Arizona State University,Nicolet Nexus 670 FTIR,220,2000,2,1,0,0,0,0,0,0,0,0,0
